id,question_id,content
A0911,T0911,"(A)本詩共十句，是一首一韻到底的五言古詩，並非五言律詩。
(B)作者把冬日曬太陽時的和氣比擬成飲美酒的舒暢，並非以
飲美酒比喻午後昏昏欲睡的狀態。
(C)本詩並無鋪陳歡聚之樂，而是敘寫作者冬日曬太陽時，閒
適自得的獨自心境。
故答案選(D)。
出 處：白居易〈負冬日〉
語 譯：冬天的太陽很明亮，照在我屋子朝南的方向。我閉
著眼坐著曬太陽，沐浴陽光一派和氣。剛開始像飲
美酒，之後又像蟲兒冬眠後甦醒。所有的關節血脈
都打通了，什麼雜念也沒有。我的身體順乎自然，
心也跟著融成了一片。"
A0912,T0912,"由「你的燈光輕聲細語，除非必要，絕不大聲號叫」
可知其燈光設計能恰如其分的襯托舞臺演出，故答
案選(C)。
(A)有人把張贊桃在雲門舞作上典雅寫意的燈光設計比擬成巴
洛克美術代表畫家林布蘭的寫意畫作，並非張贊桃以林布
蘭的畫當作舞臺背景。
(B)「臺灣舞評少，評舞也不提燈光」可見臺灣舞評很少關注
張贊桃的燈光設計，因此其作品在臺灣舞評界並無享有盛
名。
(D)「等到有（外國）人說，你的燈光讓他們想起林布蘭」可
見外國舞評已經注意到張贊桃的燈光設計。"
A0913,T0913,"勞心者「讀完一千本書的價值」不會比勞力者「犁
過千片田地」還多；勞心者「能夠對一幅畫作出適
當的描寫」的價值不會比勞力者「找出一輛故障摩
托車的毛病」還多。可見勞力者工作所創造的價值
不遜於勞心者，故答案選(C)。"
A0914,T0914,"由「須經當事人同意才能蒐集與處理其個資，而且
僅能用於特定目的」，可知答案選(C)。
(A)使用者交付行蹤與通訊內容是為了取得使用Google 地圖導
航與 LINE 通訊服務，是「被迫同意」，並非為了讓業者
蒐集個資。
(B)文中並未提及業者的安全機制是否能有效防止個資外流。
(D)「個人資料保護法」並無規定「若不同意交付個資就不能
使用服務」，而是規定「須經當事人同意才能蒐集與處理
其個資，而且僅能用於特定目的」。"
A0915,T0915,"囤積者的生命最無法割捨的是情感的「失落與喪
慟」，可見囤積者實際上無法處理「分離」所帶
來的悲慟，故答案選(A)。"
A0916,T0916,"(A)「荊州街子葛清，自頸以下，遍刺白居易舍人詩。」可見
「刺青內容取自白詩」，故答案選(A)。
(B)陳至因葛清「自頸以下，遍刺白居易舍人詩」而「背上亦
能暗記」的言行，讚為「白舍人行詩圖」也，並非葛清「獲
贈」白舍人行詩圖。
(C)「荊客陳至呼觀之，（陳至）令其自解」，可見是陳至令
葛清解衣展示身上的圖文，並非葛清「主動」展示。
(D)葛清「自頸以下，『遍刺』白居易舍人詩」，「凡刻三十
餘首，『體無完膚』」可見葛清頸部以下刺滿詩句圖文，
並非僅刺在背部而已。
出 處：段成式《酉陽雜俎》前集卷八
語 譯：荊州的街上有一名男子葛清，從頸子以下，全身刺
滿白居易的詩句。作客荊州的陳至喚他前來脫掉衣
服以便觀看，（葛清）就連刻在背後的詩句也能背
誦。反手指出背上的刺青處，到了「不是花中偏愛
菊」詩句的地方，則有一個人手上拿著酒杯欣賞菊
花叢的圖案；又到了「黃夾纈林寒有葉」詩句的地
方，則指著刺有一棵樹圖案的地方，樹上掛有紋路
相當精美的絲帶。全身總共刺有三十多首詩，身上
沒有一處皮膚不刺青的，陳至讚揚他是「白舍人行
詩圖」。"
A0917,T0917,"(A)安：靜也。从女在宀下。會意。
(B)寄：託也。从宀，奇聲。形聲。
(C)宵：夜也。从宀，肖聲。形聲。
(D)宇：屋邊也。从宀，于聲。形聲。
故答案選(A)。"
A0918,T0918,"從引文首句「用兵久則驕惰自生」，可知本文談論
之主題為「用兵之道」。而從末句「此在己之誠也」
可知作者強調「勤慎用兵，以誠為本」，故(B)為
正解。
出 處：蔡鍔《曾胡治兵語錄．第四章．誠實》
語 譯：用兵時間久了，驕傲怠惰的毛病就自然產生，（一
旦）驕傲怠惰就沒有不失敗的。勤勞可以用來醫治
怠惰，謹慎可以用來醫治驕傲，但此二字先要以誠
為根本。用兵要將這個道理了解透澈，辨別得明
白。只要能做到真誠，就連金石也能鑿開，鬼神也
會迴避，這全仰賴自己的誠意。

"
A0919,T0919,"由「65％的英國人承認壺裡的水裝太滿」，可知至
少有65％的英國人意識到自己煮了過多的水，故答
案選(B)。
(A)文中未提及有多少比例的英國人只喝冷水。
(C)由「壺裡的水裝太滿」與「通常只需要泡一杯茶」可知多
數的電水壺可煮出超過一杯茶的水量。
(D)電水壺一天的能源消耗，相當於英國一個晚上「路燈」的
電量，而非所有的「燈」。"
A0920,T0920,(A)ㄎㄞˇ。(C)ㄑㄧˋ。(D)ㄘㄠ。故選(B)。
A0921,T0921,"(A)謙稱自己夫妻二人不能用「敝伉儷」，宜改為「愚夫婦」。
壽星是王爺爺，林先生應尊稱為「令尊」。
(B)稱呼自己的屋舍宜用「寒舍」。
(D)「內人」是對他人稱自己的妻子，此處宜保留「我」一個
稱謂即可。"
A0922,T0922,"從文中「甚重文制」可知天竺著重於佛經的形式之
美，而「改梵為漢，失其藻蔚」可知佛經在翻譯的
過程中即失去原本優美的辭采，因此鳩摩羅什以
「嚼飯與人，非徒失味，乃令嘔也」為喻，表達翻
譯佛經要保留原文形式之美並不容易，故答案為
(D)。
出 處：慧皎《高僧傳．譯經篇中．鳩摩羅什傳》
語 譯：鳩摩羅什希望自己所翻譯的佛經都能夠流傳後世，
常說：「印度的習俗非常重視文章作法，它的音韻
以能夠配樂是最好的，以能夠歌唱詠嘆是最可貴
的。但把梵文譯成漢文時，就會失去優美的辭采，
第 5 頁，共 10 頁
請翻面繼續作答
雖然能夠保留經文的大意，但已喪失原來文體的特
色。這就像咀嚼米飯後再給別人吃，不但失去原有
的味道，還讓人作嘔。"
A0923,T0923,"從文中「今下『一』字，便有所止矣」的評論，可
知作者認為「一」字使得「萬古」原本「無窮無盡」
的意境受到限制，故答案選(D)。
出 處：王若虛《滹(ㄏㄨ)南詩話》
語 譯：皮日休歌詠房玄齡、杜如晦的詩作說：「宰相三十
年，清風一萬古。」通常詩中出現「千古萬古」都
是指「無窮無盡」的意思，現今皮日休用「一」這
個字，就使得這「無窮無盡」的意境受到限制。"
A0924,T0924,"這項實驗故意讓兩組學生事先得知人像主角的身
分，在觀看相同的主角外貌時，因為對身分的不
同認知而卻產生不同的解讀，因此證明先入為主
的成見常會影響人們的判斷，故選(A)。
"
A0925,T0925,"由首段「我一直覺得，媽媽的冬瓜湯，已經是冬瓜
最好的料理方式了， 這想法被鄰居賈媽媽的冬瓜
盅徹底顛覆」，以及第二段描述賈媽媽料理冬瓜盅
時，將加入香菇、干貝的燉湯，倒進挖空的冬瓜裡
再蒸一遍等方式，可知答案選(D)。
(A)賈媽媽的冬瓜盅才會加入香菇及干貝。
(B)母親的冬瓜湯會用蝦米和蔥爆香油鍋。
(C)作者認為賈媽媽的冬瓜盅是最不可思議的美味。"
A0926,T0926,"由文末「我有時候羨慕冬瓜煮過就透明了，人生卻
要經歷多少的烹煮，才能夠明明白白」，可知答案
選(C)。
(A)本文以順敘的手法進行鋪陳。
(B)文中未用聽覺來摹寫冬瓜盅的美味，而是用聽覺來描摹蝦
米在鍋中發出聲響。
(D)由多年後在餐廳吃到冬瓜盅而勾起童年的回憶"
A0927,T0927,"由第一段「從各種史料中，不斷進行研究和比較，
逐步接近真實」，以及第二段「太史公如何得知前
人的對話，因為在他之前的人是這麼記載或傳說
的……留給後世的史學家再來研究」，可知作者舉
《史記》為例，是想藉此闡明其主張歷史學是「逐
步接近歷史真實」的論點，故答案選(B)。
"
A0928,T0928,"由首段「因為這世上從來無法得到『真實的歷史』，
我們所能得到的只有『歷史的真實』」，可知答案
為(A)。
(B)「歷史學」的研究無法得到「真實的歷史」，僅能更接近
「歷史的真實」。
(C)史書記載不見得全部可信，唯有透過後人不斷拿出更可靠
的實據，才能讓歷史學不斷進步。
(D)文中並未提及作者會為了增加可讀性而虛構情節。"
A0929,T0929,"由第二段「科技可以帶來便利，但也可能影響我們
的價值、尊嚴和信念」，以及第三段「當科技在黑
暗中摸索時，人性的光輝讓我們看清自己的處境與
面臨的危險」等前後文意脈絡，可以推知畫線處應
填入與價值、信念、人性等相關詞彙，故答案選
(C)。"
A0930,T0930,"由第二段「科技可以帶來便利，但也可能影響我們
的價值、尊嚴和信念」，以及第三段「當科技在黑
暗中摸索時，人性的光輝讓我們看清自己的處境與
面臨的危險」等前後文意脈絡，可以推知畫線處應
填入與價值、信念、人性等相關詞彙，故答案選
(C)。"
A0931,T0931,"由「和對歌劇或油畫的品味一樣，人們對鄉野的品
味展現個人不同的審美能力」，以及「鄉野和人一
樣，尋常的外觀下常常掩藏著不凡的珍寶」，可知
作者強調人們應具備審美能力以發現鄉野之美，故
答案選(C)。"
A0932,T0932,"由「一個我所知的湖岸，……那是船無法泊近的一
條黑色緞帶」的描述，可知作者將「湖岸」比喻為
「黑色緞帶」，與題幹用「地氈」來比喻「滿地熊
果」的手法相同。故答案選(A)。"
A0933,T0933,由本文開頭說明小室的命名，以及二、三段對「更 衣」的說明，可知「稚子數請所出」是指孩子多次 詢問小室的命名由來，故答案選(B)。
A0934,T0934,"由「雅志堂後小室，……以為姻賓憩息地」可知其
用途為提供賓客休憩之用，故答案選(D)。
語 譯：雅志堂後面有個小房間，叫作「更衣」，用來作為
親戚賓客的休息場所。孩子多次詢問小室命名的由
來，我就抄錄班固《漢書》的一段話來告訴他：
《漢書》裡提到：「坐乃起更衣。」顏師古注釋說：
「坐，是指在座的人。更，是更換的意思。凡是待
第 10 頁，共 10 頁
請翻面繼續作答
在座位的人久了都要起來換衣服，以因應天氣冷熱
的變化。」
《漢書》又提到：「延年起，至更衣。」顏師古注
釋說：「古時候招待賓客一定有換衣服的地方。」"
A0935,T0935,"由「主然而違者，『替』之」（當國君決策有誤時，
賢士就該去改變他），可知「替」的意思為「改
變」，故答案選(C)。
(A)「孰」能磨之：誰。
(B)朝夕相與「俱」：一起，指共處。
(D)「接」之以道：引導。
( D )48. 下列敘述何者最"
A0936,T0936,"由「治亂之本在君之好惡，好惡在所習」可知國君
所習影響天下治亂，故答案選(D)。
語 譯：國家治亂的根本在於國君的好惡，好惡的形成在於
他學習的內容。年輕時學習符合正道，長大後一定
會賢明；年輕時學習不符合正道，長大後就很難和
他共同使國家安定。如果國君不幸不合正道，那麼
就要去磨礪他。誰能磨礪他呢？就得選擇賢明之
士，賢士和他朝夕相處，言行舉止都會影響到國
君，這樣就可以磨礪國君了。國君做了這樣正確的
決策時，賢士就要去幫助他；國君做了錯誤的決策
時，賢士就要去改變他。如果國君還是不了解，賢
士就要盡力和他講述道理。要解除國君被私慾蒙蔽
而用正道引導他，不讓他受到惡人影響而慢慢改變
他，等到他確立志向，如此就可以和他一起使國家
安定了。"
A0937,T0937,"（A）高宗在宴會時意外發現張循王有自己遺失的舊物。
（B）高宗的扇墜遺失在四明的河裡，並未派遣鋪家尋找。
（C）由廚娘之語「破黃花魚腹中得之」，可推知扇墜曾落入水中，故答案為（C）。
（D）為提籃人賣魚售予清河坊鋪家。
語譯：南宋高宗曾經宴請大臣，看見張循王拿著一把扇子，上面繫有玉孩兒的扇墜，高宗認出那扇墜是自己原有之物，
昔日前往四明時，扇墜不小心掉到水裡，屢次尋找卻都找不到。於是高宗詢問張循王，循王答：「臣是從清河坊
店家買來的。」召來店家的人詢問，店家的人回答：「是從提籃賣魚人那裡得到的。」又派人去詢問，那人回來
報告說：「提籃賣魚人是在候潮門外陳宅的廚娘那裡買的。」再派人去問廚娘，廚娘說：「我是在剖開黃花魚的
肚子時得到的。」臣子就把這過程報告高宗，高宗非常高興，認為這是（故土）失而復得的好兆頭。店家的人
和提籃賣魚人都授給校尉的官職，廚娘被封為孺人（官夫人），而張循王則獲得豐厚的賞賜。"
A0938,T0938,（A）藉對話推動情節發展，並未凸顯所有人物的性格。 （B）文中未運用諷喻手法，也沒有奉勸世人要拾金不昧之旨意。 ※版權所有，禁止轉印※ 13 （C）宋高宗詢問張循王→清河坊鋪家→提籃賣魚人→陳宅廚娘，經由這些抽絲剝繭的過程，可知張循王所言不 虛，故選（C）。 （D）過程中頗為曲折，但最終真相水落石出，文末並未具懸疑效果。
A0939,T0939,"（A）（ ）工多而用寡──篆文。
（B）（ ）乃變篆籀之體為隸書──王次仲。
（C）（ ）三徵入秦──秦始皇。
（D）（ ）落二翮於峰巒──大鳥。故選（D）。
語譯：王次仲認為當時通行的篆文寫起來很費時且用處不多，人們很難在短時間內學會使用。現在天下紛雜多事、公
務繁重，簡化公文信件的書寫便成為優先的事。王次仲就把篆體、籀文簡化成隸書。秦始皇認為王次仲的改革
讓文字書寫變得簡單，讓天下人方便書寫而有功勞，於是召見他。三次邀請他到秦國來作官，但他都拒絕前往。
王次仲修習道家之學，探究鑽研天文、曆法、占卜等學問。秦始皇對他的傲慢感到憤怒，派人用囚車載他入宮。
他竟變成一隻大鳥，翻身飛到車外，兩根羽毛飄落在峰巒上，這便是大翮山、小翮山名稱的由來。"
A0940,T0940,"（A）秦始皇屢次徵召王次仲入朝為官，卻遭拒絕，因而觸怒始皇。
（B）王次仲修習道家之學與秦始皇是否急功好利並無關係。
（C）由「王次仲者……乃變篆籀之體為隸書」可知是王次仲將篆籀改為隸書，故答案為（C）。
（D）文中未提及始皇射仙鳥一事"
A0941,T0941,"（A）要參訪西芳寺，須事先以明信片預約申請，整理青苔的工作則交由工作人員負責。
（B）京都大部分的佛寺仍與唐宋佛寺風格相仿，只是中國近代修廟後習慣漆上紅漆或黑漆，與京都佛寺仍保持
著原木色調的習慣不同。
（C）京都內有十七處文化景觀被列為世界文化遺產，其中的十三處是佛寺。
（D）由「嵐山一帶嵯峨野地區，被政府列為『風致地區』……都需要得到市長的許可」可知，不論新舊建設、
土地開墾都需要核可，故答案選（D）。"
A0942,T0942,"（A）從「所以相對於曾發生文化大革命的中國……可以說是更為完整而原汁原味」可推知佛教式微後，對於佛
寺保存的狀況較為不利。
（B）由「要認識京都文化，無法略過佛寺不談」推知可透過佛寺來瞭解京都傳統文化。
（C）文中並未提及唐宋佛寺多為紅漆黑瓦，故答案選（C）。
（D）從「京都的古蹟能保存得好……而是整片區域的完整保護」可知古蹟要維持風貌須整體環境的配合。"
