id,year,type,subject,title,description,answer
T1114,111,單題,現代詩文閱讀單題,"句中「矯」
字的意義,與下列何者最接近?","「修身以為弓,矯思以為矢,立義以為的,定而後發,發必中矣。」",A
T1115,111,單題,現代詩文閱讀單題,"下列文句中的成語,何者使用最恰當?",,D
T1116,111,單題,古典詩文閱讀單題,"據此判斷,唱詞中「俺」的職業最可能是下列何者?","某古典戲曲中有一段唱詞:「俺讀些稗官詞寄牢騷,對江山吃一斗苦松醪 1。小鼓兒顫杖輕敲,寸板兒軟手頻搖。一字字臣忠子孝,一聲聲龍吟虎嘯。快舌尖鋼刀出鞘,響喉嚨轟雷烈炮。呀!似這般冷嘲、熱挑,用不著筆抄、墨描,勸英豪一盤錯帳速勾了。」",A
T1117,111,單題,國學常識（含文字結構與演變),"下列文句,何者文意通暢、用詞最為恰當?",,A
T1118,111,單題,古典詩文閱讀單題,"根據這段文字,作者對於熬粥的看法,下列敘述何者最恰當?","「粥之既熟,水米成交,猶米之釀而為酒矣。慮其太厚而入水於粥,猶入水於酒也,水入而酒成糟粕,其味尚可咀乎?故熬前挹水必限以數,使其勺不能增,滴無可減。」",A
T1119,111,單題,現代詩文閱讀單題,"下列詞語「」中的注音寫成國字後,何者兩兩相同?",,B
T1120,111,單題,字音,"關於這首詩的分析,下列說明何者最恰當?","「江南二月試羅衣 1,春盡燕山雪尚飛。應是子規 2 啼不到,故鄉雖好不思歸。」
1.羅衣:絲質的衣服
2.子規:杜鵑鳥,啼聲如「不如歸去」",C
T1121,111,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,"根據這張表格的說明,下列何者最可能是會意字?",,D
T1122,111,單題,古典詩文閱讀單題,"根據文意脈絡,畫線處依序填入下列何者最恰當?","「學者如取水,終日取而不能踰其量,故操瓢者止於瓢,操盎者止於盎;教者如分火,終日分而未嘗虧其體,故散為十燈而明自若,散為千燈而明自若。故善學者________,善教者________。」",A
T1123,111,單題,古典詩文閱讀單題,"根據這段文字,下列何者與莊子的想法最接近?","莊子釣於濮水,楚王使大夫二人往先焉,曰:「願以境內累矣 1!」莊子持竿不顧,曰:「吾聞楚有神龜,死已三千歲矣,王巾笥 2 而藏之廟堂之上。此龜者,寧其死為留骨而貴乎,寧其生而曳尾於塗中乎?」二大夫曰:「寧生而曳尾塗中。」莊子曰:「往矣!吾將曳尾於塗中。」",B
T1124,111,單題,現代詩文閱讀單題,"關於這段文字的寫作手法,下列說明何者最恰當?","「世人之事君者,皆以孫叔敖之遇楚莊王為幸,自有道者論之則不然,此楚國之幸。楚莊王好周遊田獵,馳騁弋射,歡樂無遺,盡付其境內之勞與諸侯之憂於孫叔敖。孫叔敖日夜不息,不得顧及養生之事,故使莊王功績著乎竹帛,傳乎後世。」",A
T1125,111,單題,現代詩文閱讀題組,"根據甲、乙兩項資料,關於民國97年國人主要死亡原因,無法明確推論出下列何者?","甲:
衛福部公布107年國人十大死因:與十年前相較,癌症與心臟疾病依舊高居死因前兩位,糖尿病、事故傷害、慢性下呼吸道疾病順位不變,肺炎、高血壓性疾病、腎臟疾病順位上升,腦血管疾病、慢性肝病與蓄意自我傷害順位下降。
乙:
107年國人死因順位:
順位 死因
1 癌症
2 心臟疾病
3 肺炎
4 腦血管疾病
5 糖尿病
6 事故傷害
7 慢性下呼吸道疾病
8 高血壓疾病
9 腎臟疾病
10 慢性肝病
11 蓄意自我傷害",D
T1126,111,題組,現代詩文閱讀題組,"根據這張海報,下列關於綠能家電診所維修內容的敘述,何者最恰當?",,C
T1127,111,題組,現代詩文閱讀題組,"下列四人聲稱曾到綠能家電診所送修電器,何人所述與這張海報的內容最相符?",,C
T1128,111,題組,現代詩文閱讀題組,"根據本文,關於畫線處所象徵的意義,下列說明何者最不恰當?","摺紙必須精準,切忌反覆翻弄,將紙摺磨得失去挺度。若紙起皺,邊線就會失去俐落的線條,摺出來的物件都會像失了精神般的軟癱。小學時認識了一位大哥哥,手極巧,曾摺了一隻立體獨角仙給我。它有著厚實而層疊的腹部,擎起的獨角末端還如鹿角分岔。我珍藏多年,直至年長搬家方不知去向。我從未能重現這隻獨角仙,人生也不若它的摺線一般乾淨俐落。【甲】我反覆把自己摺成不同的生物,試圖符合人生為我準備的每一個坑洞。【乙】一群圓滑形狀的人們聚在一起談天,我小心翼翼斂起方正的直角,化為類似的圓體,悄悄滾近。另外也會遇上有稜有角的人們,我則對摺自己,讓角度更加突出。然而時間一長便洩了底,他們看穿,他們草草應付,藉機散去,剩下我獨自揣摩下次該變成哪種樣子。【丙】幾次把紙弄得殘破不堪後,勉強找到約略符合自己形狀的角落,適應下來了。但當我決定把自己送往另一個城市,困惑又悄悄蔓延。以往公司宣告「我們要的是稀有動物」,因此我們的生活宗旨是特立獨行、轟轟烈烈。但向新單位報到的第一天,主管卻說:「這是一個叢林!那些需要特殊照顧與環境才能生存的稀有動物,比如說大象、孔雀,在這裡是無法生存的!【丁】我們需要的是蟑螂、是老鼠!」雖然明白他的誇飾,但還是受到了極大的震撼。我又慌張了,這次,我應該把自己摺成什麼呢?―― 改寫自謝子凡〈摺疊人生〉",D
T1129,111,題組,現代詩文閱讀題組,"作者透過本文所抒發的感慨,與下列何者最接近?","摺紙必須精準,切忌反覆翻弄,將紙摺磨得失去挺度。若紙起皺,邊線就會失去俐落的線條,摺出來的物件都會像失了精神般的軟癱。小學時認識了一位大哥哥,手極巧,曾摺了一隻立體獨角仙給我。它有著厚實而層疊的腹部,擎起的獨角末端還如鹿角分岔。我珍藏多年,直至年長搬家方不知去向。我從未能重現這隻獨角仙,人生也不若它的摺線一般乾淨俐落。【甲】我反覆把自己摺成不同的生物,試圖符合人生為我準備的每一個坑洞。【乙】一群圓滑形狀的人們聚在一起談天,我小心翼翼斂起方正的直角,化為類似的圓體,悄悄滾近。另外也會遇上有稜有角的人們,我則對摺自己,讓角度更加突出。然而時間一長便洩了底,他們看穿,他們草草應付,藉機散去,剩下我獨自揣摩下次該變成哪種樣子。【丙】幾次把紙弄得殘破不堪後,勉強找到約略符合自己形狀的角落,適應下來了。但當我決定把自己送往另一個城市,困惑又悄悄蔓延。以往公司宣告「我們要的是稀有動物」,因此我們的生活宗旨是特立獨行、轟轟烈烈。但向新單位報到的第一天,主管卻說:「這是一個叢林!那些需要特殊照顧與環境才能生存的稀有動物,比如說大象、孔雀,在這裡是無法生存的!【丁】我們需要的是蟑螂、是老鼠!」雖然明白他的誇飾,但還是受到了極大的震撼。我又慌張了,這次,我應該把自己摺成什麼呢?―― 改寫自謝子凡〈摺疊人生〉",B
T1130,111,題組,現代詩文閱讀題組,"關於小說中畫線處文句的說明,下列何者最恰當?","證道會過後不久,天氣開始熱了。眼看六月底就要到來。證道會那個星期天下了場遲來的雨,次日,夏天的氣燄便忽地在天空與屋舍上方爆發開來。首先是一陣焚熱強風吹拂一整天,把牆壁都吹乾了。接著太陽定住不動,城裡鎮日洶湧著一波接一波的熱浪光影。除了拱廊街與公寓樓房之外,城裡好像沒有一處見不到刺眼欲盲的反光。【甲】陽光大街小巷地追著市民跑,一等他們停下來便立刻出擊。由於暑熱乍到,死亡人數也剛好急遽上升,每星期約有七百人,奧蘭城於是籠罩在一種沮喪的氣氛中。郊區裡,平坦街道與平頂房舍之間不再生氣勃勃,而且這一區的居民平常總是坐在門口,如今卻是所有的門戶窗扉緊閉,也不知道是想躲瘟疫還是太陽。不過有幾戶人家家裡傳出呻吟聲。以前要是發生這種事,經常可以看見好奇民眾站在路上留神傾聽。【乙】但經過這長久下來的警戒之後,好像每個人的心腸都變硬了,無論是走路時或生活中聽到痛苦呻吟聲都能置若罔聞,彷彿那是人類的自然語言。在各城門的打鬥迫使警察不得不使用武器,也同時引發一種暗地裡的騷動。【丙】打鬥中當然會有人受傷,但在城裡由於受到燠熱與恐懼的影響,所有事情都被誇大了,因此便有傳聞說死了人。總之民眾不滿的情緒確實不斷擴大,政府也確實擔心發生最壞情況,而認真考慮了萬一這群被困在疫病當中的民眾發生暴動,應該採取哪些措施。報上公布了一些法令,再次重申出城的禁令,違者可能得坐牢。城裡派出巡邏隊巡視。在那些空蕩蕩又熱得發燙的街頭上,經常會先聽到馬蹄聲,接著便會看見騎馬的衛兵從兩排緊閉的窗戶之間經過。【丁】巡邏隊的身影消失後,受威脅的城區便再次陷入一片沉重且充滿猜疑的寂靜之中。每隔一段時間都會有槍聲響起,那是幾支武裝的特殊小隊最近奉命撲殺貓狗,因為牠們也可能傳播跳蚤。這些冷硬的槍聲更增添城裡的肅殺氣氛。―― 節錄自卡繆《鼠疫》",B
T1131,111,題組,現代詩文閱讀題組,"對小說中的政府而言,「最壞情況」所指的最可能是下列何者?","證道會過後不久,天氣開始熱了。眼看六月底就要到來。證道會那個星期天下了場遲來的雨,次日,夏天的氣燄便忽地在天空與屋舍上方爆發開來。首先是一陣焚熱強風吹拂一整天,把牆壁都吹乾了。接著太陽定住不動,城裡鎮日洶湧著一波接一波的熱浪光影。除了拱廊街與公寓樓房之外,城裡好像沒有一處見不到刺眼欲盲的反光。【甲】陽光大街小巷地追著市民跑,一等他們停下來便立刻出擊。由於暑熱乍到,死亡人數也剛好急遽上升,每星期約有七百人,奧蘭城於是籠罩在一種沮喪的氣氛中。郊區裡,平坦街道與平頂房舍之間不再生氣勃勃,而且這一區的居民平常總是坐在門口,如今卻是所有的門戶窗扉緊閉,也不知道是想躲瘟疫還是太陽。不過有幾戶人家家裡傳出呻吟聲。以前要是發生這種事,經常可以看見好奇民眾站在路上留神傾聽。【乙】但經過這長久下來的警戒之後,好像每個人的心腸都變硬了,無論是走路時或生活中聽到痛苦呻吟聲都能置若罔聞,彷彿那是人類的自然語言。在各城門的打鬥迫使警察不得不使用武器,也同時引發一種暗地裡的騷動。【丙】打鬥中當然會有人受傷,但在城裡由於受到燠熱與恐懼的影響,所有事情都被誇大了,因此便有傳聞說死了人。總之民眾不滿的情緒確實不斷擴大,政府也確實擔心發生最壞情況,而認真考慮了萬一這群被困在疫病當中的民眾發生暴動,應該採取哪些措施。報上公布了一些法令,再次重申出城的禁令,違者可能得坐牢。城裡派出巡邏隊巡視。在那些空蕩蕩又熱得發燙的街頭上,經常會先聽到馬蹄聲,接著便會看見騎馬的衛兵從兩排緊閉的窗戶之間經過。【丁】巡邏隊的身影消失後,受威脅的城區便再次陷入一片沉重且充滿猜疑的寂靜之中。每隔一段時間都會有槍聲響起,那是幾支武裝的特殊小隊最近奉命撲殺貓狗,因為牠們也可能傳播跳蚤。這些冷硬的槍聲更增添城裡的肅殺氣氛。―― 節錄自卡繆《鼠疫》",D
T1132,111,題組,現代詩文閱讀題組,"根據本文,關於美秀美術館,最不可能推論出下列何者?","日本 美秀美術館(Miho Museum)有一種奇特的「烏托邦式美學」,首先是載客的白色電動車安靜地穿梭接待中心與美術館間,有如過去科幻電影中,關於未來烏托邦世界的描述。白色電動車象徵著美秀美術館對於美學近乎潔癖的要求,電動車安靜地運作,不會干擾到青山綠水間的蟲鳴鳥叫,使得這座烏托邦式的美術館區,永遠呈現出一種寧靜的氛圍。更有趣的是,白色電動車的駕駛穿著白色制服,臉上表情肅穆,不禁令人懷疑這些駕駛是否為科幻片中的複製人或機械人?不過我們不得不佩服美秀美術館的周到服務:雨天下電動車時,館方提供踏腳墊,以及擦去雨滴的白抹布。即便是貴婦人,仍然可以輕鬆地在美術館中喝下午茶。然後乾乾淨淨,一塵不染地離去。當遊客在雨天蒞臨,美術館人員便會送來一整排赭紅色、印著MIHO字樣的雨傘,並要求大家將自己的傘留在車上。其用意是不希望旅客花花綠綠的雨傘,破壞了烏托邦視覺上的統一美感。―― 改寫自李清志〈烏托邦美術館:美秀美術館〉",C
T1133,111,題組,古典詩文閱讀題組,"根據本文,下列何者最能體現美秀美術館的烏托邦式美學?","日本 美秀美術館(Miho Museum)有一種奇特的「烏托邦式美學」,首先是載客的白色電動車安靜地穿梭接待中心與美術館間,有如過去科幻電影中,關於未來烏托邦世界的描述。白色電動車象徵著美秀美術館對於美學近乎潔癖的要求,電動車安靜地運作,不會干擾到青山綠水間的蟲鳴鳥叫,使得這座烏托邦式的美術館區,永遠呈現出一種寧靜的氛圍。更有趣的是,白色電動車的駕駛穿著白色制服,臉上表情肅穆,不禁令人懷疑這些駕駛是否為科幻片中的複製人或機械人?不過我們不得不佩服美秀美術館的周到服務:雨天下電動車時,館方提供踏腳墊,以及擦去雨滴的白抹布。即便是貴婦人,仍然可以輕鬆地在美術館中喝下午茶。然後乾乾淨淨,一塵不染地離去。當遊客在雨天蒞臨,美術館人員便會送來一整排赭紅色、印著MIHO字樣的雨傘,並要求大家將自己的傘留在車上。其用意是不希望旅客花花綠綠的雨傘,破壞了烏托邦視覺上的統一美感。―― 改寫自李清志〈烏托邦美術館:美秀美術館〉",B
T1134,111,題組,古典詩文閱讀題組,"根據本文,作者認為紙本書對一般人的獨特價值最可能是下列何者?","很多人早就預言紙本書會消失,被網路閱讀取代,但我相信紙本書有其獨特價值。我不時自問:要怎麼描述紙本書的獨特價值?今天和未來,大家為何要透過紙本書來閱讀?我一度覺得紙本書的價值比較接近藝術品,但藝術品是陽春白雪,和一般人的距離較遠。我想找出來的是:紙本書對一般人也是必需的獨特價值。思索十幾年後,我試著將「數位及網路閱讀」與「紙本閱讀」的特質分述兩邊,列出右邊的圖像:我發現這兩列特質的總結,不就是白晝與黑夜的對比嗎?網路閱讀的特質,可喻為白晝;紙本閱讀的特質,可喻為黑夜。而一旦把紙本的獨特價值和黑夜連接,答案就跳出來了。人類從來都是需要代表黑夜和白晝的閱讀並存,也就是書和書以外的閱讀並存。就像人類有電燈後,雖然可以延長白晝,但還是需要黑夜,我們對紙本書的需求也是。不論我們可以從網路、手機得到多少訊息、知識、多媒體的閱讀樂趣,最後還是有打開紙本書的需求。人,沒有黑夜,是會生病的。我們沒有紙本書的閱讀,也如此。不論從心理或生理上來說,都如此。黑夜不是和少數人相關的藝術品,而是每個人不可或缺的必需品。我們現今透過簡訊、臉書,隨時都在使用文字表達自己、與人溝通,對文字的需求日益提高,而紙本書是最能讓我們學習、體會文字力量的一種媒介。一首雋永的古詩,印在紙本書上,和呈現在電子書上,會有截然不同的氣場,我們閱讀的感受也截然不同。這就是紙本書對每個人都具備的意義,不論這個社會多麼網路化、數位化。―― 改寫自郝明義〈當紙本書是一個黑夜〉",C
T1135,111,題組,古典詩文閱讀題組,"關於本文的寫作分析,下列敘述何者最恰當?",,D
T1136,111,題組,古典詩文閱讀題組,"假設右圖是寓言中所指的洞穴,則根據寓言的內容,甲、乙、丙三處依序最可能是下列何者?",,B
T1137,111,題組,古典詩文閱讀題組,"在這則寓言中,「這個走出洞穴後再回到洞內的人」最可能是象徵下列哪一種人?","有個洞穴中有一群人,他們的身子被鍊著,無法轉向,只能面向洞穴的內壁。他們無法看見身旁每一個人,亦無法看見身後的洞口。洞穴裡唯一的光源是一堆營火。有一道遮蔽物擋在這群人與營火之間,遮蔽物後有人高舉著人類和動物雕像來來往往。那些被鍊著的人看不見雕像,只能在內壁看到遮蔽物後雕像的影子,且這些黑影配合洞穴裡的回音舞動。對那些被鍊著的人來說,這些影子是真實的事物。他們無事可做,只能談論這些影子。如果被鍊著的人中有一人被釋放,得以起身走出洞穴。陽光會讓這個人感到極大的痛苦,因為他只習慣於黑暗。等他習慣了光線,看見遮蔽物後真正發生的事情,他就能發現真相,得到啟蒙。當這個人再回到洞內,試著告訴其他人外界的真相,其他人卻很可能無法理解並認為這個人是瘋狂的。就算這個人將他們釋放,想拉他們走出洞穴,他們依然只願相信內壁上的影子才是真實,甚至可能將這個人殺死。",B
T1138,111,題組,古典詩文閱讀題組,"根據這則寓言,下列何者最接近柏拉圖的想法?","有個洞穴中有一群人,他們的身子被鍊著,無法轉向,只能面向洞穴的內壁。他們無法看見身旁每一個人,亦無法看見身後的洞口。洞穴裡唯一的光源是一堆營火。有一道遮蔽物擋在這群人與營火之間,遮蔽物後有人高舉著人類和動物雕像來來往往。那些被鍊著的人看不見雕像,只能在內壁看到遮蔽物後雕像的影子,且這些黑影配合洞穴裡的回音舞動。對那些被鍊著的人來說,這些影子是真實的事物。他們無事可做,只能談論這些影子。如果被鍊著的人中有一人被釋放,得以起身走出洞穴。陽光會讓這個人感到極大的痛苦,因為他只習慣於黑暗。等他習慣了光線,看見遮蔽物後真正發生的事情,他就能發現真相,得到啟蒙。當這個人再回到洞內,試著告訴其他人外界的真相,其他人卻很可能無法理解並認為這個人是瘋狂的。就算這個人將他們釋放,想拉他們走出洞穴,他們依然只願相信內壁上的影子才是真實,甚至可能將這個人殺死。",A
T1139,111,題組,古典詩文閱讀題組,"根據甲、乙兩文推論,漢文帝時各種錢幣的重量依序最可能是下列何者?","【甲】
文帝時,莢錢 1 益多,輕,乃更鑄四銖錢,上鑄「半兩」字樣,民亦得自鑄錢。故吳王就山鑄錢,富等天子,其後以此叛逆。又有大夫鄧通者,亦以鑄錢富甲天下。故吳、鄧氏錢布天下,而後乃生鑄錢之禁。―― 改寫自《史記.平準書》
【乙】
漢文帝時,鄧通得賜蜀銅山,聽得鑄錢,形制文字重量,皆與天子四銖錢同。時吳王亦有銅山鑄錢,故有吳錢,微重,形制文字,與天子錢不異。―― 改寫自《西京雜記》",D
T1140,111,題組,古典詩文閱讀題組,"根據甲、乙兩文,下列敘述何者最恰當?","【甲】
文帝時,莢錢 1 益多,輕,乃更鑄四銖錢,上鑄「半兩」字樣,民亦得自鑄錢。故吳王就山鑄錢,富等天子,其後以此叛逆。又有大夫鄧通者,亦以鑄錢富甲天下。故吳、鄧氏錢布天下,而後乃生鑄錢之禁。―― 改寫自《史記.平準書》
【乙】
漢文帝時,鄧通得賜蜀銅山,聽得鑄錢,形制文字重量,皆與天子四銖錢同。時吳王亦有銅山鑄錢,故有吳錢,微重,形制文字,與天子錢不異。―― 改寫自《西京雜記》",B
T1141,111,題組,現代詩文閱讀題組,"根據本文,下列文句省略的主語,何者是白敏中?","王起主文柄 1,欲以白敏中為狀元,病其與賀拔惎為友。惎有文而落拓。乃密令門人申意,俾敏中與惎絕。門人復約敏中,具以告之。敏中曰:「皆如所教。」既而惎果造門,左右欺以敏中他適,惎遲留不言而去。俄頃,敏中躍出,連呼左右召惎,悉以實告,曰:「一第何患不致,奈輕負至交!」相與歡醉。門人睹之,大怒而去。懇告於起,且云不可必矣。起曰:「我原只得白敏中,今當更取賀拔惎矣。」―― 改寫自《唐摭言》",C
T1142,111,題組,現代詩文閱讀題組,"根據本文,王起說:「我原只得白敏中,今當更取賀拔惎矣。」這句話的原因,最可能是下列何者?","王起主文柄 1,欲以白敏中為狀元,病其與賀拔惎為友。惎有文而落拓。乃密令門人申意,俾敏中與惎絕。門人復約敏中,具以告之。敏中曰:「皆如所教。」既而惎果造門,左右欺以敏中他適,惎遲留不言而去。俄頃,敏中躍出,連呼左右召惎,悉以實告,曰:「一第何患不致,奈輕負至交!」相與歡醉。門人睹之,大怒而去。懇告於起,且云不可必矣。起曰:「我原只得白敏中,今當更取賀拔惎矣。」―― 改寫自《唐摭言》",D
