id,question_id,content
A1215,T1215,(Ｂ)由「春去盡」可知已是春末，再由「小雨翻萍 上淺沙」可知地點在溪邊。(Ａ)由「信馬閑行到日 西」可知甲詩的時間為日暮時分(Ｃ)皆沒有對仗(Ｄ )兩詩第一句皆用韻。語譯：【甲】花兒在寒冷中還 沒有開放，鳥兒也沒力氣地叫著，我騎馬隨意而行 ，直到太陽西落。哪裡有春意萌動，可以讓詩人託 付一點思情呢？魏王堤兩旁的柳樹，已嫩枝輕拂， 給人間帶來了一絲春意。【乙】在草木陰陰的映照 下，彎曲的小溪顯得格外碧綠，一場小雨滴落在草 坪上濺起細沙。鵝鴨不知道春天已過，還爭相隨著 流水去追趕桃花。
A1216,T1216,(Ｄ)由「君子之反覆也，因學識之層累疊進，以為 變動」可知君子修正自己原本的觀點（以為變動）是因為所知的增長（學識之層累疊進）。語譯：天下有改變想法的小人，也有改變想法的君子。人們只知道想法沒有異動的不是小人，卻不知道想法沒有修正的也不足以成為君子。這是因為小人的想法是隨著環境氛圍與利益的方向而改變；君子則是因為學識的增加而修正自己的觀點。雖然都改變了想法，但改變的原因卻是不一樣的。
A1217,T1217,(Ａ)甲圖的調查對象是「全球『曾有過伴侶』的 15 至 49 歲女性」，而非「全球女性」。
A1218,T1218,(Ａ)由「社會的面貌起了很大的變化，人們的生活 內容漸漸豐富起來」可知(Ｂ)由「許多人開始在夜 間從事非生產性的工作，富人娛樂活動增加」可知( Ｄ)由「隨著牛耕鐵器的廣泛使用，尤其是戰國時代 鐵器的普及」可知。
A1219,T1219,(Ａ)由「傳統布農族社會在舉行重大的祭儀活動前 ，族人會聚集在一起用木杵搗米準備製作小米酒」 可知。
A1220,T1220,(Ａ)由「世事一場大夢，人生幾度新涼？」可知作 者感慨自己人生的經歷，已有一定年紀(Ｂ)句中的 「客」指的是訪客，而非客人(Ｃ)「月明」指美好 的事物，「多被雲妨」指不可能長久保持光亮（即 美好）(Ｄ)「中秋」傳達親友團聚的意涵，「孤」 則表獨自一人。語譯：世上萬事恍如一場大夢，人 生經歷了幾度新涼的秋天？到了晚上，風吹動樹葉 發出的聲音，響徹迴廊，看看自己，眉頭鬢上又多 了幾根銀絲。 酒並非好酒，常常為了訪客稀少 發愁，月亮雖明，卻總被雲遮蔽。在這中秋之夜， 誰能夠和我共同欣賞這美妙的月光？我只能拿起酒 杯，淒涼悲傷地望著北方。
A1221,T1221,(Ａ)文字說明僅提及歐洲國家茶葉生產技術發展， 未言甲國技術變差(Ｂ)本圖僅提供甲國茶葉出口資料，無法得知歐洲茶葉市場總交易數(Ｃ) 1900 年甲國出口總額 120 萬擔，1886 年甲國出口總額 240 萬擔，衰退 50％(Ｄ)無論表或文字，皆為出口資料，未提及進口。
A1222,T1222,(Ｄ)由「因念黃山當生平奇覽，而有奇若此，前未 一探，茲遊快且愧矣」可知。(Ａ)作者因自己未曾 探尋這次看到的奇景而慚愧(Ｂ)由「楓松相間，五 色紛披，燦若圖繡」可知有如織錦的畫面是由峭壑 、楓樹、松樹等交織而成(Ｃ)文中未提及此次遊覽 黃山的原因。語譯：又往北上，在石縫中穿行。一 片片石峰夾著路聳起，路在石峰之間彎來轉去，阻 塞的地方被鑿開，陡峭的地方修出階梯，斷裂的地 方搭木通過，懸空處安置梯子連線。往下俯瞰，壑 谷峻峭、陰森，楓樹和松樹相互夾雜，五彩繽紛， 像圖畫、錦繡一樣燦爛。於是想到遊黃山應是有生 以來的奇覽，還有如此的奇異景致在以前都沒有探 尋過，這一次重遊真是既痛快又慚愧啊！
A1223,T1223,(Ａ)(Ｂ)兩人皆提及犬與馬(Ｃ)兩人推崇平文(Ｄ) 由「當時已謂之工」可知。語譯：以往士人大都崇 尚對偶的駢體文，穆脩、張景等人始提倡散文，當 時稱之為「古文」。穆脩、張景曾一同參加朝會， 恰好看到有一匹奔馬踏死了一條犬，二人於是相約 各描述其事。穆脩說：「馬逸，有黃犬遇蹄而斃。 」張景說：「有犬死奔馬之下。」當時文體剛開始 發生變化，兩人的文字都樸拙硬澀，但當時已認為 精工佳句，所以流傳至今。
A1224,T1224,(Ｂ)由「移堤則歲無水患，吾等何所衣食」可知。 語譯：錢塘江的石造堤岸被洶湧的波濤拍打，每年 破壞。杜偉長是轉運使，有人獻策，從浙江徵稅場 所的東邊，遷移退後數里建為半月形的堤防，以避 免大水破壞。所有的治水工人都覺得這個點子很好 ，只有一個年老的治水工人不認同，私底下跟同事 們說：「移動堤防後，每年就沒有水災了，我們要 靠什麼吃飯？」大家都樂於享受利益，便附和老水 工的說法。偉長沒有覺察到這個詭計，花了很多錢 ，但是錢塘江堤防的水患仍然每年都發生。
A1225,T1225,25 由「我只知道現在天氣／很好。暖暖。我們／在 暖暖」透露出欣喜滿足之情，且藉由「現在」 、「此際」等詞語強調「當下」，故選(Ｄ)。( Ａ)由「這天氣，終於突圍」以及下句的「暖暖 」可知天氣應該變好(Ｂ)由「小站在月臺上」 的「小站」及最後一節「也許車子再開動後」 可知，作者尚未到達目的地，仍回到車上繼續前行(Ｃ)詩中未提及。
A1226,T1226,(Ａ)由第一節「終於突圍」可知，原本天氣不好 ，後來轉晴，心情也變得明亮，然而接著往五 結、六結等地，心情又鬱結起來，綜觀本詩， 心情並非越來越沉重，而是先轉為明亮，再變 為鬱結(Ｂ)「暖暖」一詞重複出現，形成詩歌 的韻律(Ｃ)七堵、八堵的「堵」、「暖暖」、 「那那社」與「吶吶以對」及五結、六結的「 結」，皆有雙關(Ｄ)由「也許」、「在哪個時 間」可推知此為尚未發生的情景。
A1227,T1227,27 (Ａ)由入水說明的「激起太大的水花會遭到扣分 」可知水花的大小會影響分數高低(Ｂ)由「當 時的選手要從倫敦橋跳下泰晤士河」可知第一 場跳水比賽是在室外(Ｃ)雙人跳水配置 11 名評 審(Ｄ)文中未提及使用跳板起跳可獲得較高的 分數。
A1228,T1228,28 (Ｂ)由「分數的範圍為 0 分（失敗）到 10 分（ 極好）」可知最高只能給 10 分。(Ａ)每一跳的 得分皆須採計(Ｃ)比賽時只能依照動作表完成 跳水，否則以 0 分計算(Ｄ)文中沒有提及難度 係數的計算方式。
A1229,T1229,29 由「採計中間 3 名評審的分數後，再乘以動作的 難度係數」算出得分可知，所有評審的給分依 高低排序為 7、7、7、8、8、9、9，中間三名評 審給分為 7、8、8，加總再乘以動作係數 3.0， 故選(Ｃ)。
A1230,T1230,30 (Ａ)由「恍如進入一座潔淨，但森冷的納骨塔」 可知作者將圖書館比喻為納骨塔，埋進納骨塔 即沉浸書堆之意。(Ｂ)文中未提及終身學習(Ｃ )納骨塔指的是圖書館，書魂係指作者蘊藏於作 品的精神，未有喪失生命熱情之意(Ｄ)文中未 提及讀者性格。
A1231,T1231,31 由「我們的交談安靜而無聲」與「讓不同意見的 寄魂去辯駁」可感受動態之效，故選(Ｃ)。(Ａ )本文重點在於閱讀的意義，沒有建築與個人的 對比(Ｂ)文中提到不同年齡層作者的個性區分 ，但未提及不同年齡層閱讀習慣的差異(Ｄ)本 文未將視線推移至室外。
A1232,T1232,32 (Ａ)由乙文「在剛果爭相主張礦物資源的所有權 一樣」可知剛果是礦產被瓜分的國家(Ｂ)月球 大使館於 1968 年成立，人類則於 1969 年才踏 上月球(Ｃ)外太空條約僅明文禁止地球的國家 主張其他星球的土地所有權，卻未規範私營公 司(Ｄ)由「開放各國簽署」可知不一定要實際 登陸月球才能成為締約國。
A1233,T1233,33 (Ｃ)霍普以公司的名義販售外太空地產，艾維斯 則主張國家或私人企業都不能主張月球土地的 所有權。
A1234,T1234,34 (Ｂ)由「瀏覽紀錄、按讚喜好、地理位置、基本 個資等這些看不到的數據，都是商業可變現、 政治可操縱的黑箱資料」可知具有商業價值。( Ａ)等同公開用戶住家平面圖(Ｃ)由「然而，真 實世界更幽微」可知個資外洩不只是密碼強度 高低的問題(Ｄ)優化意指讓某項技術進步，「 優化人工智慧」乃指讓人工智慧準確度更高。
A1235,T1235,35 (Ｂ)由「當我們同意使用某一網路服務，形同自 願交出私密資料」可知。(Ａ)文中未提及主導 市場走向的概念(Ｃ)文中未提及政府對個資的 作為(Ｄ)本文重點在於科技進步使個資外洩問 題日益嚴重。
A1236,T1236,36 (Ｃ)由「但拿破崙不願意被當成波旁王朝的繼承 者，而自稱為『法國人的皇帝』」可知拿破崙 不認為自己承襲了前一個王朝，而是開創了新 帝國。
A1237,T1237,37 由「但對教會如此傲慢的態度」可知當時拿破崙 對教廷的態度並非謙恭有禮，故為了不損及教 廷顏面而避開拿破崙自己戴上皇冠的場景，故 選(Ｂ)。
A1238,T1238,38 (Ａ)由「畫面的正中央是代表神權的十字架」可 知。
A1239,T1239,39 (Ｄ)由「已而鸞得帝重，嵩猶視之若子，遂浸相 惡」可知。
A1240,T1240,40 (Ａ)守門人用嚴嵩不是接獲詔令入宮者而拒絕讓 他入宮(Ｂ)嚴嵩回到家中，父子兩人相對而泣( Ｃ)陸炳揭發仇鸞私下做過的事，使皇帝在仇鸞 死後仍追加恥辱。
A1241,T1241,(１)由「先生有三畝之園而不能耘，而言治天下如 運諸掌，何也」可知，故選(Ｂ)。(Ａ)文中未 提及禮樂之道(Ｃ)(Ｄ)楊朱舉堯、舜牧羊之例 說明要成大功業的人不做小事，並非貶抑堯、 舜，也並非說明治天下須從小事做起。
A1242,T1242,(２)(Ａ)兔子已死，追趕的獵狗也沒有用處，可以 烹來吃了；鳥兒已經打盡，弓已沒有價值，就 被收藏起來。比喻過河拆橋(Ｂ)高空飛鳥和深 泉游魚都因貪得美食而死。比喻不計後果的貪 求一定沒有好結果(Ｃ)良馬一天能跑完千里， 駑馬累積十天的路程，十日後也能完成千里。 比喻才智平庸的人，只要努力不懈，也能趕得 上聰明的人(Ｄ)剖開三吋大小的蚌殼，不容易 得到品質好的珍珠；探尋矮小多刺樹上的巢穴 ，難以得到鳳凰的幼鳥。比喻人才不會出現在 條件不佳的環境。
