id,question_id,content
A1411,T1411,"(A)文中提到「留待時間去處理」的，是在於「剪裁」、「寫成」遊記，而非提到「優秀的作品，經得起時間的考驗」。
(B)文章主旨說明時間之於遊記的角色定位，而非好遊記的形成要件。
(C)從文中「旅行回來，一篇遊記常要寫上許久」、「一片凌亂的札記和草稿」、「不寫也罷」可知文章重點為遊記的撰作問題，而非一位編輯的養成。
(D)從「留待時間去處理」和「它最後會告訴我」可對應到選項中的「時間沉澱」。
故選【D】
"
A1412,T1412,"(A)「我的本行是科學而非文學」在文中已是完整語意，故「甲」可填入「句號」。
(B)「也許這正是我的缺失」和「也許這反而是我的長處」兩句結構相似，然非複數句，故「乙」可不用分號，而直接用「逗號」。
(C)從文意中可見「科學需要人文的關懷」及「而文學需要理性的自覺」兩句，為解釋前文之「缺失」和「長處」，而冒號可用於「說明」或「解釋」，故可使用於「丙」。
(D)「科學需要人文的關懷」和「而文學需要理性的自覺」兩句結構相似，然非複數句，故「丁」可不用分號，而直接用「逗號」。
故選【C】
"
A1413,T1413,"(A)「淪為」，沒落、陷入不好的境地。與題幹中的義舉、佳話不符，應改為「傳為」。
(B)「既然」，連詞。多用在上半句的句首，表示前提，而後再加以推論。題幹為表示意外之義，應改為「竟然」
(C)「終於」，最後、總算。表示所預料或期望的情況到最後還是發生了。「竣工」表示工程完畢。
(D)「不愧」，不會有羞慚的感覺，即「認為當然」的意思。題幹為表示慶幸之義，應改為「幸好」。
故選【C】
"
A1414,T1414,"(B)ㄐㄧㄥ→ㄌㄧㄤˋ。
(C)ㄆㄢ→ㄈㄢˊ。
(D)ㄘㄞˊ→ㄗㄞ。
故選【A】"
A1415,T1415,"(A)由「魯迅說此書『亦頗有從唐傳奇轉化而出者』可知，蒲松齡撰寫《聊齋志異》時，從唐傳奇中取材寫作來源。
(B)由「《聊齋志異》真正的短篇小說能從前人作品找到『本事』（原型）的約百篇，意即近二分之一的篇章不是作者獨創，而是改寫前人作品。」換言之，二分之一的「短篇小說」篇章不是原創，而非「全書」的二分之一。
(C)由「《聊齋志異》真正的短篇小說能從前人作品找到「本事」（原型）」，可知全書能找到原型的作品大多是短篇小說。
(D)由「另一是長達數千言的故事，是真正的短篇小說」，可知書中的短篇小說篇幅長達數千言。
故選【A】
"
A1416,T1416,"(B)趕「進」殺絕→盡。
(C)情不自「盡」→禁。
(D)眼不見為「靜」→淨。
故選【A】"
A1417,T1417,"(A)由上片韻腳「濃」、「重」、「鐘」、「朧」可知上片韻腳為平聲韻。由下片韻腳「空」、「紅」、「風」、「中」可知下片韻腳亦為平聲韻。
(B)由上片「誰向江頭遺恨濃？碧波流不斷，楚山重」等句，作者透過源源不斷的江水抒發愁恨，為藉景抒情。下片「桃李小園空」、「人不見，春在綠蕪中」等句，作者藉無人的園林及荒蕪的春景傳達人事已非之情，亦為寫景抒情，並無敘事論理。
(C)作者透過具體的「碧波流不斷」呈現「遺恨」的綿延不絕之意。
(D)由「桃李小園空」可知園中並無桃李花，故無豔冶之景。
故選【C】
語　　譯：是誰在江頭遺留了濃重的愁恨？碧綠的江水不斷流淌，楚山重巒疊嶂。柳煙細雨間隔著疏遠的鐘聲。黃昏以後，羅帳更加的迷濛。曾開滿桃花李花的小園如今空空如也。何人還在歡聲笑語，拾起落花的殘瓣呢？珠簾被夜晚的風捲起。人早已不見，唯有春天仍在一片茂生的亂草中。"
A1418,T1418,"(A)由「野徑入桑麻」可知農地中有農作物，並未荒蕪。
(B)由「近種籬邊菊，秋來未著花」可知菊花並未盛開。
(C)由題目〈尋陸鴻漸不遇〉中的「不遇」及「報道山中去」一句可知作者並未遇到鴻漸，鴻漸應仍在山中未歸。
(D)由「扣門無犬吠，欲去問西家」可知作者扣門得不到回應後，向西邊的鄰居詢問其去向，因此作者有看見鴻漸的鄰居。
故選【D】
語　　譯：陸鴻漸搬家後雖然住在城郭一帶，但鄉間的小路旁夾雜著桑樹和麻田。他最近在籬笆旁種植菊花，已經到了秋天還未開花。我敲了他家的門沒有聽到狗叫聲，於是要去詢問西邊的鄰居。鄰居回答說他去山裡，每天太陽西斜時才會歸來。"
A1419,T1419,"(A)「不可名狀」指不能用言語形容。此處藉不可名狀表達戰況慘烈，無法用言語形容。
(B)「毫不在乎」意近「不以為意」；「但」為轉折詞，故下句必須接「毫不在乎」的反義成語。
(C)「不言而喻」指事理淺顯，不必說就可明白，與「大家都不知他是喜是怒」語意矛盾。
(D)「不置可否」指不表示任何意見，與「讓下屬有明確的方向」語意矛盾。
故選【A】"
A1420,T1420,"(A)由太祖對劉基說「是數欲害汝，汝竟為之言耶？」可知應是李善長過去曾多次試圖陷害劉基。
(B)由太祖所說「吾將相汝矣。」一句可知，太祖想讓劉基當丞相。
(C)由「善長勛舊，能調和諸將」可知劉基認為李善長具有調和諸將的能力，故於「是如易柱，須得大木。若束小木為之，且立覆。」一句中透過大木來形容李善長。
(D)由「善長勛舊，能調和諸將」可知劉基認為李善長具有調和諸將的能力，並在皇帝面前替李善長辯護，可推知劉基認為李善長比自己適合擔任丞相。
故選【D】
出　　處：《明史》（卷128）
語　　譯：太祖因為一些事情責備丞相李善長，劉基說：「李善長是有功勳的舊臣，能在諸位將領之間調和關係。」太祖說：「這人數次想要害你，你竟然還替他說話嗎？我打算讓你當丞相。」劉基叩頭回答：「這就像更換房屋的柱子，一定要用大木材才行。如果使用細小的木頭綑綁起來，屋子會立刻倒塌。」"
A1421,T1421,"(A)阿根廷與巴西同屬左側賽區，若兩國最後相遇，應是勝者進入冠軍賽，負者進入季軍賽，不可能出現兩國分別為冠軍及亞軍。
(B)荷蘭及澳大利亞有可能會於四強賽時遭遇對方，故必定會有一國遭到淘汰，不可能出現分列冠軍及季軍的結果。
(C)法國與西班牙同屬右側賽區，若兩國最後相遇，應是勝者進入冠軍賽，負者進入季軍賽，不可能出現兩國分別為冠軍及亞軍。且西班牙及葡萄牙有可能會於四強賽時遭遇對方，故必定會有一國遭到淘汰，不可能出現分列亞軍及季軍的結果。
(D)克羅埃西亞及摩洛哥各自位於左側及右側賽區，兩國有可能於冠軍賽交手，並分列冠軍及亞軍。而摩洛哥與塞內加爾同屬右側賽區，如兩國最後相遇，勝者進入冠軍賽，負者進入季軍賽，則有可能出現摩洛哥為亞軍，塞內加爾為季軍的結果。
故選【D】"
A1422,T1422,"(A)文中並未提及「吾」是否喜歡吃賣餅者的餅，而每日光顧取餅是因為讓賣餅者可用餅來償還給「吾」。
(B)從「本流既大，所謀益增」可知賣餅者生意資本變多後，所要操心的事情也變多，故可知是因為資本擴增後，導致工作更繁忙。
(C)文中並未提及「吾」是否喜歡賣餅者的歌聲，也沒有提到勸賣餅者以歌聲招攬生意。
(D)從「本流既大，所謀益增，不暇唱曲矣。」可知賣餅者是因做生意資本增加導致操心事變多，而無暇歌唱，並非不想再繼續賣餅。
故選【B】
出　　處：唐代 韋絢《劉賓客嘉話錄》
語　　譯：安邑里的巷口有一個賣餅的人，我每天早上經過他家門口，沒有一天不曾聽聞他的歌聲。有一天，我把他叫來談話，發現他生活貧困值得同情。於是我給了賣餅者一萬錢，增加他做生意的資本，之後我再每天向他取餅用來抵債。賣餅者很開心地拿著錢離開了。之後我再經過賣餅者家門口，卻一片寂靜，沒再聽見唱歌的聲音。直到我呼喚賣餅者，他才出現，我對賣餅者說：「你怎麼這麼快就不唱歌了呢？」賣餅者回答說：「因為做生意的資本變多了，要操心的事情也跟著變多，所以沒有空閒唱歌了。」
"
A1423,T1423,"(A)從「令遠方之卒守塞，一歲而更」、「不如選常居者家室田作」可知二者應對調。
(B)從「先為室屋、具田器，乃募民免罪、拜爵，予冬夏衣、廩食」可知室屋、田器、冬夏衣、廩食皆為募民屯戍獲得的福利，而文中並未提及遠卒守塞者獲得的福利。
(C)從「遠方之戍卒，不習地勢而心畏胡者」可知遠卒應不熟習地勢，而募民屯戍者長期居住，對地勢應較熟習。
(D)從「遠方之戍卒，不習地勢而心畏胡者」可知遠卒畏懼胡人，從「赴胡不避死」可知募民屯戍者不會逃避跟胡人打仗時死亡，因此可推知心態不畏懼胡人。
故選【D】
出　　處：西漢 晁錯〈守邊勸農疏〉
語　　譯：讓遠方的士兵去守邊塞，每年輪換一次，遠方的士兵不了解胡人的能力。這樣不如選擇一直住在邊境的人，讓他們在這裡安家從事農耕，並且讓他們防備胡人，方便搭建高聳的城牆及深挖壕溝，先替他們蓋房子、準備農具，再招募願意定居的人，免除他們的罪責、給他們封爵位，提供冬夏的衣服和糧食，等他們能自給自足後再停止補助。邊塞的居民，如果待遇不高，就不能讓他們長期住在危險的地方。對於胡人入侵時能加以抵擋的居民，可把從敵人處搶來的一半財物賞給他。這樣做的話，鄉里之間會互相支援救助，遇到胡人進攻時也會不怕死地衝上去，因為這樣能保護自己的親人，還可以賺到財物。這種做法，比讓不了解當地環境、心裡又害怕胡人的遠方士兵來戍守，效果將好上萬倍。"
A1424,T1424,"(A)從「皆歷詆慶曆以來公卿隱過，雖范文正亦不免」，可知范文正是被揭發過錯，而非揭發他人過錯。
(B)從「後聞之，乃魏泰所為，嫁之聖俞也」可知，《碧雲騢》並非梅聖俞所作，而是魏泰所作。
(C)從「議者遂謂聖俞游諸公間，官竟不達，懟而為此以報之」，可知議者認為梅聖俞因官運不亨而怨懟眾公卿，並非魏泰。
(D)從「歐陽文忠《歸田錄》自言不記人之過惡」可知，《歸田錄》認為應替人隱諱。
故選【B】
出　　處：宋代 張鎡〈仕學規範〉
語　　譯：世人流傳《碧雲騢》這卷書是梅聖俞寫的，書中盡在詆毀慶曆年間以來所有公卿的隱私過錯，連范仲淹也無法倖免。議論的人就說梅聖俞交遊於公卿之間，但官位卻不顯達，心懷怨恨，因而寫這本書來報復。君子成全別人的美德，縱使對方有萬分之一的疏失，也應當替賢能的人隱瞞，何況這未必是事實。梅聖俞是賢能的人，怎麼會淪落至此呢？後來聽說，這本書是魏泰寫的，是嫁禍給了梅聖俞。這難道不是拖累了諸公卿，又冤枉了梅聖俞嗎？歐陽脩在《歸田錄》中自己說他不會記別人的過錯，君子的心態也應當如此。"
A1425,T1425,"(A)由文章第九段孫子說：「他們實在是殼太薄，承受不了壓力，才會攤平在淺灘上！」、「要是像明一樣，活在冰冷的北極深海裡，公呆們應該是受不了的。」可知公呆無法承受深海壓力，只能在淺灘上。
(B)由文章第五段：「若有動物接近，會一起噴水示警。這樣做或許能嚇走水鳥，但正好讓人發現位置」可知噴水雖能嚇走敵人，卻也暴露出自己的位置。
(C)由文章第六段：「文蛤閉殼後像石頭，碰撞也不太會破損」可知閉殼後像石頭的是文蛤，而非公呆。
(D)由文章第八段：「秋天一到，天氣一冷，沒被吃掉，牠們也成群成群死掉，全變成白殼骨。」、第九段內容：「反正一輩子也沒多長，一起躺好晒晒太陽，還能趁活著時，享受一點溫暖和陪伴。」可知公呆躺平晒太陽是因殼薄無法承受壓力所致，與是否面臨群體死亡無關。
故選【B】"
A1426,T1426,"(A)文章中由祖孫對話可得知，兩世代對公呆的行為解讀不同，也暗示不同世代價值觀的差異。
(B)文章中並未說明對親人的懷念。
(C)文章中以翻撿公呆的行為引發孫子的環保意識，但並非彰顯永續發展之重要性。
(D)文章中是藉由公呆形象比喻現今躺平的生活態度。
故選【A】
"
A1427,T1427,"(A)由文章第二段：「一條路線是從臺灣東南外海，經過琉球北上，回到日本繁殖地。另一條路線則是從臺灣的西岸通過，回到中國東北、北韓或日本一帶。」可知是從蘭嶼（外島）出海、西岸通過，並未提及由臺灣南部出海，故此說法不成立。
(B)由文章第二段：「一條路線是從臺灣東南外海的蘭嶼，經過琉球北上，回到日本繁殖地。」可知有從蘭嶼（外島）出海，但在圖（二）卻未標示，因此此說法成立。
(C)由文章第一段：「牠們遠從日本、西伯利亞或中國東北而來，經過墾丁，前往菲律賓的度冬地。」可知南下路線一定會經過墾丁，故此說法不成立。
(D)由文章第一段：「牠們遠從日本、西伯利亞或中國東北而來，經過墾丁，前往的菲律賓度冬地。」可知南下路線只有一條，但圖（二）卻畫了兩條，應是多畫了從中國來的這條，故此說法不成立。
故選【B】
"
A1428,T1428,"(A)文中未提及林相、雨量資訊。
(B)並非因為地形獨特，容易辨識，而是山脈地形能提供上升氣流再次提升高度。
(C)由文章第三段：「八卦山的次生林環境，提供了豐富的食物來源。另外，猛禽遷徙過程依靠氣流滑翔，必須利用山脈地形，尋找上升氣流，再提升高度，八卦山正好就提供這樣的地理條件。」可知八卦山提供食物來源，且可利用地形尋找上升氣流以提升高度。故符合食物與地形的要素。
(D)文中未提及。
故選【C】"
A1429,T1429,"(A)由甲文中提及視覺化寫作為「除了對白之外的所有部分，亦即視覺描述」可知，電影的視覺效果與對白無關。
(B)學習視覺化寫作的技能可以讓劇本有生命、攫住觀眾，與是否看懂電影無關。
(C)由甲文中「在劇本中，對白固然重要，但劇本必須深植於令人感覺真實的世界裡，才能有生命，也才能攫住觀眾」可知，視覺化寫作可以使讀劇本的人更容易掌握情境。
(D)甲文中希區考克僅認為劇本是製作偉大電影的最重要元素，並未親口提及視覺化寫作是劇本中最重要的部分。
故選【C】
"
A1430,T1430,"(A)乙文中未有任何對白出現。
(B)乙文中除安德魯外，未有其他角色出現，故不會有角色間的衝突。
(C)乙文中節拍器的速度數字皆由安德魯親自調整與關閉，此段落並沒有節拍器故障之情節。
(D)乙文中的狀聲詞「喀啦」為鼓棒斷掉的聲響，也讓安德魯停下所有動作，意識到自己的疲憊狀態，為情節的轉折。
故選【D】"
A1431,T1431,"(A)陰暗狹小的練習室──場景外觀。
(B)在他左前方銀灰色譜架上的電子節拍器，正在閃爍──場景事件。
(C)畫線處文字並未提及安德魯的穿著打扮、雙眼有神與否，無角色外貌的描述。
(D)安德魯試著打出雙跳──角色行動。
故選【C】
"
A1432,T1432,"(A)由文中「這個社會非常擔心沒有錢，所以實體化成一個一個『別人』，來問我們現在到底賺多少錢，將來能賺多少錢」可知，對貧窮的恐懼為追問的原因之一。
(B)由文中「巨大的金額令他們心生羨嫉，微薄的金額則引發他們的焦慮，並且順手潑溼我們對未來的樂觀盼想」可知，將賺錢視為唯一目標，對未來想像的單一化，是其追問的原因之一。
(C)由文中「他們並不關切生活品質、工作熱忱、自我實現、健康狀態、人生信念，這些無形價值能不能在金錢天秤上等價換算」可知，追問的人並不在乎良好的生活品質。
(D)由文中「一心只想問出個金額，好與其他四處蒐羅而來的金額比大小」可知，因認為工作的意義只在於賺錢，所以不停追問賺錢的金額多寡。
故選【C】"
A1433,T1433,"(A)畫線處提及「出賣自我、夢想、健康、幸福、信念，到了『夠』的時候」，與實現自我無關。
(B)畫線處並未提及與他人比較的情形。
(C)畫線處未提及賺取足夠金錢。
(D)畫線處提及「出賣自我、夢想、健康、幸福、信念」表示犧牲，且「到了『夠』的時候」表示極限。
故選【D】
"
A1434,T1434,"(A)由「部分產品價格將微幅調漲」可知，不符合題幹中「價格不會變動」的縮水式漲價。
(B)由「一顆改為半顆」可知，符合題幹中「分量減少」的要素。
(C)由「容量由500c.c.變400c.c.」可知，符合題幹中「分量減少」的要素。
(D)由「原本隨教科書贈送的作業簿，不再免費提供」可知，符合題幹中「產品內容變少」的要素。
故選【A】
"
A1435,T1435,"(A)未提及廠商回饋。
(B)未提及使用需求。
(C)未提及同類產品間的區隔。
(D)由末段「推出銅板價格的小包裝新品項，或是用搭售方式，讓消費者誤以為買到更便宜的產品」、「消費者不易與原先的價格比較，也就緩和了抗拒購買的心理」可知，當消費者較難直觀察覺價格的改變時，較不抗拒企業新的銷售形式。
故選【D】"
A1436,T1436,"(A)文中提及《舊五代史》直接把十國裡凡稱帝的都貶為「僭偽列傳」，可得知不認同李昪的正統地位。
(B)《舊五代史》將南唐君主置於「僭偽列傳」，《新五代史》則定位於「世家」，二者皆未承認南唐君主的帝王身分。
(C)由文中「《新五代史》稍稍客氣」可知，南唐君主在《舊五代史》的定位較《新五代史》更低。
(D)文中提及新、舊《五代史》皆將北方政權的更迭視為正統，且文中未提及「《新五代史》雖提及李後主，但入宋的部分不寫」的原由。
故選【B】"
A1437,T1437,"(A)由文末「宋朝雖然滅了南唐，可是汴京皇城裡的文化資產，有多少來自南唐啊！」可知，比起「正統情節」作者更重視南唐為宋朝帶來的文化影響。
(B)由文中第三段「主戰場就在北方中原」、「五代王位之爭，經常是血腥暴力、骨肉相殘」、「更談不上人文建設」，可知北方政權不穩定。
(C)由文末「南唐三位國君都重視文教，珍藏圖書，蒐羅書畫，建立教坊，網羅畫師，一時之間南唐成了文化重鎮」可知，作者肯定李氏三代重視文教，且對文化有貢獻。
(D)由文中第二段「趙匡胤是借『陳橋兵變』、『黃袍加身』而當上皇帝，其政權正當性，乃繼承北方中原的政權更替」可知，作者不認為趙匡胤的稱帝是僭越，反而擁有政權的正當性。
故選【C】"
A1438,T1438,"(A)由文章中：「公子光之父曰吳王 諸樊。諸樊弟三人：次曰餘祭，次曰夷眛，次曰季子札。」、「吳人乃立夷眛之子僚為王。」可得知諸樊是光的父親，而諸樊有三個弟弟分別為餘祭、夷眛、季子札，且僚為夷眛之子。
(B)此圖表示季子札為諸樊兒子、光為諸樊兄弟，與文章所述不同。
(C)此圖表示餘祭、夷眛、季子札為諸樊的兒子，而非諸樊的兄弟，與文章所述不同。
(D)此圖表示光、餘祭、夷眛、季子札為諸樊的兒子，而非諸樊的兄弟，與文章所述不同。
故選【A】"
A1439,T1439,"(A)由文章中：「公子光曰：『使以兄弟次邪，季子當立；必以子乎，則光真嫡嗣，當立。』」可得知公子光接受餘祭按照兄弟排行擔任吳王。
(B)由文章中：「公子光曰：『使以兄弟次邪，季子當立；必以子乎，則光真嫡嗣，當立。』」可得知公子光接受夷眛按照兄弟排行擔任吳王。
(C)由文章中：「公子光曰：『使以兄弟次邪，季子當立；必以子乎，則光真嫡嗣，當立。』」可得知公子光接受季子札按照兄弟排行擔任吳王。
(D)由文章中：「吳人乃立夷眛之子僚為王。公子光曰：『使以兄弟次邪，季子當立；必以子乎，則光真嫡嗣，當立。』」可得知光認為如果是按照兄弟排行，應由季子札當王；如果是按照嫡系方式，應由他自己當王，而非僚。
故選【D】
語　　譯：公子光的父親是吳王 諸樊。（長子）諸樊有三個弟弟：依次為餘祭、夷眛、季子札。諸樊知道季子札賢能所以不立太子，將王位依序傳給三個弟弟，希望最終把王位傳給弟弟季子札。諸樊死後，傳位給餘祭。餘祭死後，傳位給夷眛。夷眛死後，本應傳位給季子札。但季子札逃走不願即位，吳國人就立夷眛的兒子僚為王。公子光說：「如果按照哥哥過世弟弟即位的方式傳位，應當是季子札即位擔任吳王；如果一定要由兒子繼承王位，那麼光(我)是嫡長子，應該由我即位。」"
A1440,T1440,"(A)「令郎」，敬稱別人的兒子。「令尊」，尊稱別人的父親。
(B)「比來」，最近、近來。「比」，讀音ㄅㄧˋ。
(C)「一旦」，忽然有一天。「剎那」，量詞，計算時間的單位。表示極短的時間。
(D)「俗故」，日常俗務、世俗瑣事。「老友」，指相交多年情感深厚的朋友。
故選【B】"
A1441,T1441,"(A)由「比來，數於者下朋從處見此屏」可知，司馬光在獲贈之前，已見過石月屏。
(B)由「雖受文錦十純，白璧百雙，在光之愚，未為重賜」可知，對司馬光而言，比起文錦、白璧等昂貴的寶物，更喜愛受贈的石月屏。文中拿文錦、白璧與石月屏相比較，而未提及與薛虢州的友情。
(C)由「捧玩不勝愧喜」、「素心悅之，無從可得，豈意一旦不煩懇請，坐致握中」、「雖受文錦十純，白璧百雙，在光之愚，未為重賜」，可知司馬光接受饋贈，未婉拒。
(D)由「觀其天質圓瑩，非刻非繪，如秋高氣清，迥然在望，信乎天地之異氣、山澤之殊寶也。素心悅之」，可知司馬光喜愛石月屏的原因。
故選【D】"
A1442,T1442,"(A)文中並未提及欲登門回禮一事。
(B)由本文題目〈答薛虢州謝石月屏書〉可知，本文為司馬光收到贈禮後，寫信向薛表達謝意之作。
(C)未提及已經備好厚禮準備回贈致謝。
(D)應指多次在都城的朋友處看見石月屏，並非為了辨別優劣，邀請好友來家中鑑賞石月屏。
故選【B】
語　　譯：日前您的兒子前來拜訪，並帶來您的手書與石月屏作為贈禮，我恭敬接下、細細把玩之後，心中無限慚愧又欣喜。最近，多次在都城朋友那裡見到這個石月屏，覺得它質地晶瑩圓潤，既非人工雕刻，也非繪畫染色，自有天然之妙，如同秋高氣爽時的清朗天空，遠遠望去清澈分明，實在是脫俗出塵。這的確可說是天地間的異氣所凝成的奇珍，是山林澤野孕育出的寶物。我心中向來喜愛此物，卻一直求之不得，哪能想到忽然有一天不經請託，竟輕易得之於掌中。我的性情原本就偏愛樸實自然之物，這石月屏正好切合我心。即使有人送我十匹華麗的錦織布、百雙潔白的美玉，在我這樣資質愚鈍的人心中，不算是貴重的禮物。只是近來俗事繁忙，來去匆匆，一直沒有時間表達感謝之意，內心更加愧疚與不安。聽說您的兒子如今任職官場得宜，想必您感到安慰與欣喜。我尚未有機會親自拜見您，但非常珍惜這份厚禮與深情。
"
