id,question_id,選項A,選項B,選項C,選項D
S1430,T1430,透過極簡的對白讓事件留有餘韻,藉「關上」一詞讓角色間有衝突,以節拍器故障凸顯角色性格的偏執,用狀聲詞「喀啦」製造情節的轉折
S1431,T1431,場景外觀,場景事件,角色外貌,角色行動
S1432,T1432,對貧窮的恐懼,對未來想像的單一,重視良好的生活品質,認為工作的意義只在金錢
S1433,T1433,充分的實現自我,不再與他人比較,賺取足夠的金錢,犧牲已到達極限
S1434,T1434,因氣候異常蜂蜜歉收，依不同蜜源，部分產品價格將微幅調漲,近期蛋品價格持續上漲，即日起擔仔麵所附的滷蛋一顆改為半顆,本公司特別將飲料杯設計為曲線瓶，價格不變，容量由500c.c.變為400c.c.，方便消費者隨時暢飲,因應原物料價格調整，原本教科書贈送的作業簿，不再免費提供
S1435,T1435,較可感受廠商回饋的誠意,較符合實際上的使用需求,較能與同類產品產生區隔,較難直觀察覺價格的改變
S1436,T1436,《舊五代史》記錄李昪，是因為認同他的正統地位,新、舊《五代史》都不肯承認南唐君主的帝王身分,南唐君主在《舊五代史》的定位比在《新五代史》高,《新五代史》不承認北方政權，故未提及李後主入宋
S1437,T1437,應該重視王朝興替的「正統情結」,北方政權相對穩定，有利於人文建設,肯定李氏三代重視文教，對文化的貢獻,趙匡胤借「陳橋兵變」稱帝，是為僭越
S1438,T1438,,,,
S1439,T1439,餘祭,夷眛,季子札,僚
S1440,T1440,日前「令郎」訪逮：令尊,「比來」，數於都下朋從處見此屏：近來,豈意「一旦」不煩懇請：剎那,「俗故」忽忽：老友
S1441,T1441,若不是薛虢州贈送石月屏，司馬光無從見其真貌,石月屏雖比文錦、白璧昂貴，但司馬光更重友情,司馬光初獲石月屏時雖心喜，當下仍堅守節操婉拒,石月屏自然生成，清氣可見，因此司馬光甚為喜愛
S1442,T1442,欲登門回禮，惜薛公務繁忙，擬另擇日造訪,獲贈禮物，喜出望外，故寫信向薛表達謝意,受薛贈寶深感有愧，已經備好厚禮回贈致謝,為辨優劣，邀請好友來家中共同鑑賞石月屏
