id,question_id,選項A,選項B,選項C,選項D
S1229,T1229,( 7 + 7 + 7 ) × 3.0,( 7 + 7 + 8 ) × 3.0,( 7 + 8 + 8 ) × 3.0,( 8 + 7 + 9 ) × 3.0
S1230,T1230,"獲得精神食糧,沉浸書堆","倡導終身學習,推廣閱讀","喪失生命熱情,心如死灰","甘心隱姓埋名,不慕榮利"
S1231,T1231,"藉由宏偉的建築,對比個人的渺小","以不同年齡層的閱讀習慣,凸顯世代差異","將靜態的閱讀比擬為交談,產生動態的效果","視線推移自室內延伸至室外,強調知識的寬廣"
S1232,T1232,1880年代剛果曾提出瓜分非洲礦產的主張,"月球大使館公司成立時,人類尚未踏上月球",沒人能挑戰霍普販賣月球地產是因《太空政策》期刊的論文,"國家需實際登陸月球後,方可成為《外太空條約》的締約國"
S1233,T1233,太空探索是否應以和平進行為原則,國家是否可以獨占有利的登月地點,私人是否可以主張月球土地的所有權,非締約國是否可以破壞他國的探測器
S1234,T1234,「智慧家庭」的數據資料庫能保護網路隱私,網路上的瀏覽紀錄、按讚喜好具有商業價值,"只要設好高強度的密碼,就不用擔心個資外洩",「優化人工智慧」是指電腦全面取代人類工作
S1235,T1235,廣告客製化意謂著消費者主導了市場走向,"生活中使用網路服務,其實是用隱私換來的",企業與政府受到輿論壓力而開始保護個人資料,"科技日新月異,可以保護我們的隱私不受侵犯"
S1236,T1236,仿效查理曼大帝的做法,承襲歷代法國王室的傳統,強調自己是新帝國的開創者,希望由教皇而非蘭斯大主教加冕
S1237,T1237,強調皇后的重要性,避免損及教廷顏面,滿足拿破崙的虛榮,聽從拿破崙的指示
S1238,T1238,十字架擺放的位置,拿破崙加冕的對象,教皇給予祝福的手,拿破崙母親的出席
S1239,T1239,"嚴嵩私下上奏,詆毀仇鸞","嚴嵩與曾銑結盟,疏遠仇鸞",仇鸞向皇帝稟告嚴嵩父子的罪行,"仇鸞權位日重,不願嚴嵩仍以子視之"
S1240,T1240,門者以非詔旨格之:守門者將徐階、李本擋下,"嵩還第,父子對泣:嚴嵩與仇鸞兩人盡釋前嫌","炳訐鸞陰事,帝追戮之:皇帝認為陸炳毀謗死者,憤而殺之","遣所乘龍舟過海子召嵩:皇帝以高規格召回嚴嵩,以示禮遇"
S1241,T1241,梁王認為治理天下應重視禮樂之道,梁王質疑楊朱是否具有治理天下的能力,"楊朱貶抑堯、舜,能治天下卻不能牧羊","楊朱以牧羊為例,說明治天下須從小事做起"
S1242,T1242,"狡兔死,良狗烹;高鳥盡,良弓藏","高飛之鳥,死於美食;深泉之魚,死於芳餌","騏驥千里,一日而達;駑馬十駕,旬亦至之","剖三寸之蚌,難得明月之珠;探枳棘之巢,難求鳳凰之雛"
