id,question_id,選項A,選項B,選項C,選項D
S1021,T1021,他為人謙和有禮，總是前倨後恭,曾幾何時，家鄉景物已完全改變,他一進車廂，就先入為主搶了靠窗座位 ,體育課後教室變得汗牛充棟，又臭又悶
S1022,T1022,天才與瘋子往往只有一線之隔,平凡人透過努力也能變得傑出,人須自知自愛，方能獲得尊重,天地無棄物，用人當取其所長 
S1023,T1023,無「ㄨㄤˋ」之災／自大狂「ㄨㄤˋ」,信筆「ㄊㄨˊ」鴉／如火如「ㄊㄨˊ」,勞而無「ㄍㄨㄥ」／分「ㄍㄨㄥ」合作,遺珠之「ㄏㄢˋ」／震「ㄏㄢˋ」人心
S1024,T1024,茫然不解,一知半解,不求甚解,逐字求解
S1025,T1025,茶具：瓷器，濃淡：淡，茶種：阿薩姆，是否加糖：是,茶具：瓷器，濃淡：濃，茶種：伯爵茶，是否加糖：是,茶具：馬克杯，濃淡：淡，茶種：阿薩姆，是否加糖：否,茶具：馬克杯，濃淡：濃，茶種：阿薩姆，是否加糖：是
S1026,T1026,美國人喝茶習慣不加糖,美國人使用的茶具較為高級,英國人喝紅茶大多會加牛奶,英國的高級茶具不能直接注入熱茶 
S1027,T1027,其他「質數」的孤獨：個人,在「數列」裡：眾人,孤絕丁零的「餘數」：作品,不會離開自我的「一」：寫作
S1028,T1028,孤獨是一種救贖,藉由寫作可以肯定自我 ,閱讀使人感到更加孤獨,不受他人干擾才能專心創作
S1029,T1029,按IPC 標準，「緊急」的情況比「饑荒」的情況嚴重,在國際社會中，「饑荒」一詞受到重視而且具影響力,「饑荒」這個詞會影響國家的形象，故不能隨意使用,南蘇丹於2017年發布「饑荒」，被視為「放羊的孩子」
S1030,T1030,食物極度短缺且無力再撐下去的家戶數：5000戶，急性營養不良的人口比例：35%，每天因營養不良而死亡的人數：25人,食物極度短缺且無力再撐下去的家戶數：4500戶，急性營養不良的人口比例：35%，每天因營養不良而死亡的人數：15人,食物極度短缺且無力再撐下去的家戶數：3500戶，急性營養不良的人口比例：40%，每天因營養不良而死亡的人數：20人,食物極度短缺且無力再撐下去的家戶數：3000戶，急性營養不良的人口比例：40%，每天因營養不良而死亡的人數：10人
S1031,T1031,狂奔／傾／爆,散步／堆／綻 ,散步／堆／綻 ,灌溉／搖／開
S1032,T1032,灌溉／搖／開,灌溉／搖／開,灌溉／搖／開,岸邊的風球升起就表示颱風已經遠
S1033,T1033,用颱風的狂暴象徵作者內心的憤怒,以細筆表現颱風將至到離去的種種景象,模仿孩童的語氣來描寫心中對颱風的恐懼,藉由誇飾的筆法描述颱風肆虐後造成的災害
S1034,T1034,減少比賽的場次,顧及比賽的公平性,毋須等待，可立刻開戰,不必直接對戰，不傷和氣
S1035,T1035,郭靖打贏洪七公,黃藥師打贏郭靖,洪七公打贏黃藥師,黃藥師打贏洪七公
S1036,T1036,張又新將天下的水按水質分成二十種,歐陽脩按水源的遠近和高低評定水質,在《煎茶水記》中，張又新反駁劉伯芻看法,依《茶經》論水的標準，揚子江優於虎丘井
S1037,T1037,首段提出各家之說，末段表明作者的觀點,首段評比水質高下，末段以各家之說佐證,首段引述《茶經》的說法，末段舉各家之說駁斥,首段分論不同水源的特性，末段以取水標準總結
S1038,T1038,駭眾取「名」――姓名,嗜學「尤」力――尚且,「悉」出家書予之――明白,使「如」京師――前往
S1039,T1039,甲文比較柳開、張景才華的高下,乙文敘述張景投靠柳開後的際遇,兩文皆凸顯柳開自大的形象,兩文皆肯定張景不凡的文才
S1040,T1040,柳開中舉前已受張景愛戴,宋祁跟柳開兩人頗有交情,甲文的寫作時間早於乙文,乙文所述內容較甲文可信
S1041,T1041,賈充是司馬昭陣營的人馬,陳泰為了救荀顗而見司馬昭,司馬昭與陳泰因權臣橫行而對泣,眾人認為陳泰應比荀顗早一步進宮
S1042,T1042,指出賈充屢獲晉升卻未曾被貶官,認為殺賈充是最起碼的處置方式,批評司馬昭遇事時未能顧及下屬,諷刺司馬昭只知媚上卻無法服眾
